Timestamp,Frequency_MHz,Power_dB
2025-04-27_02-50-26,913.800,20.68
2025-04-27_02-50-26,913.800,1.41
2025-04-27_02-50-27,913.800,20.82
2025-04-27_02-50-27,913.800,26.24
2025-04-27_02-50-27,913.800,19.77
2025-04-27_02-50-28,913.800,25.28
2025-04-27_02-50-28,913.800,17.52
2025-04-27_02-50-28,913.800,7.49
2025-04-27_02-50-29,913.800,9.31
2025-04-27_02-50-29,913.800,20.26
2025-04-27_02-50-29,913.800,26.40
2025-04-27_02-50-30,913.800,14.92
2025-04-27_02-50-30,913.800,18.76
2025-04-27_02-50-30,913.800,17.99
2025-04-27_02-50-31,913.800,20.56
2025-04-27_02-50-31,913.800,22.60
2025-04-27_02-50-32,913.800,17.41
2025-04-27_02-50-32,913.800,24.45
2025-04-27_02-50-32,913.800,25.78
2025-04-27_02-50-33,913.800,27.86
2025-04-27_02-50-33,913.800,23.60
2025-04-27_02-50-33,913.800,17.40
2025-04-27_02-50-34,913.800,19.04
2025-04-27_02-50-34,913.800,25.61
2025-04-27_02-50-34,913.800,26.32
2025-04-27_02-50-35,913.800,20.12
2025-04-27_02-50-35,913.800,24.75
2025-04-27_02-50-35,913.800,16.41
2025-04-27_02-50-36,913.800,22.55
2025-04-27_02-50-36,913.800,26.09
2025-04-27_02-50-37,913.800,26.88
2025-04-27_02-50-37,913.800,17.74
2025-04-27_02-50-37,913.800,18.66
2025-04-27_02-50-38,913.800,23.05
2025-04-27_02-50-38,913.800,23.48
2025-04-27_02-50-38,913.800,21.15
2025-04-27_02-50-39,913.800,23.19
2025-04-27_02-50-39,913.800,22.34
2025-04-27_02-50-39,913.800,23.22
2025-04-27_02-50-40,913.800,23.39
2025-04-27_02-50-40,913.800,20.44
2025-04-27_02-50-45,913.800,30.12
2025-04-27_02-50-46,913.800,22.60
2025-04-27_02-50-46,913.800,18.50
2025-04-27_02-50-46,913.800,21.96
2025-04-27_02-50-47,913.800,15.90
2025-04-27_02-50-47,913.800,22.97
2025-04-27_02-50-47,913.800,25.19
2025-04-27_02-50-48,913.800,4.60
2025-04-27_02-50-48,913.800,8.96
2025-04-27_02-50-48,913.800,25.79
2025-04-27_02-50-49,913.800,23.92
2025-04-27_02-50-49,913.800,24.80
2025-04-27_02-50-49,913.800,10.92
2025-04-27_02-50-50,913.800,20.60
2025-04-27_02-50-50,913.800,27.75
